id_anuncio,descricao,descricao_len,descricao_encontrada,descricao_candidatos_avaliados,notas_heuristica,data_coleta
56782573,"⚫ Hyundai HB20 2018 AT⚪ Motor 1.6 �� -Câmbio Automático -123.000km -Direção Hidráulica -Volante Multifuncional -Vidros/ Retrovisores e travas elétricas -Multimídia -Farol De Milha -Bancos de couro -Rodas de liga leve -Interior Impecável -Ar Condicionado digital -4 Pneus em ótimo estado -Laudo Cautelar aprovado��✅ R$69.900,00 Fácil aprovação�� ��Rua: Maria Amália Lopes de Azevedo n°4088 jaçanã -ZN.",400,True,10,"<p> len=400 kws=['cautelar', 'impecável']; total_aprovados=1",2026-05-13T00:53:03.216980
56692004,"HB20 Comf./C.Plus/C.Style 1.0 Flex 12V 2012/2013 **TJONES MOTORS** Aqui você encontra seminovos com qualidade, Garantia e cautelar 100% aprovado. Financiamos em até 60x com as melhores TAXAS do mercado, parcelamos sua entrada em até 21x nos cartões de credito, pegamos seu usado na troca com a melhor avaliação do mercado. NÂO PERCA TEMPO E ENTRE EM CONTATO COM UM DE NOSSOS CONSULTORES. Rua: Domício Pacheco e silva 1087 Jd campos eliseos Campinas-sp",451,True,9,"<p> len=451 kws=['cautelar', 'troca', 'garantia', 'financia', 'parcel', 'contato', 'financiamos']; total_aprovados=1",2026-05-13T00:53:10.376373
56459234,,0,False,8,"nenhum <p> passou (8 candidatos avaliados); primeiras rejeicoes: ['len=103 rejeitado pai_class=hidemessage', 'len=125 rejeitado pai_class=hidemessage', 'len=115 rejeitado pai_class=modal']",2026-05-13T00:53:15.352356
56813222,"Se você está buscando um novo carro, não se arrisque e compre na Localiza Seminovos: carros com 360 itens verificados, garantia e procedência. Aqui você encontra a maior variedade de modelos do mercado, condições únicas de financiamento, entrada facilitada em até 10 vezes sem juros, carros revisados e com garantia de quilometragem real. Viabilizamos a troca do seu carro usado e entregamos seu novo carro na segurança de sua casa! Agende já seu atendimento.",459,True,9,"<p> len=459 kws=['troca', 'garantia', 'financia', 'revisa', 'revisado', 'quilometragem']; total_aprovados=1",2026-05-13T00:53:21.849673
57484853,,0,False,8,"nenhum <p> passou (8 candidatos avaliados); primeiras rejeicoes: ['len=103 rejeitado pai_class=hidemessage', 'len=125 rejeitado pai_class=hidemessage', 'len=115 rejeitado pai_class=modal']",2026-05-13T00:53:27.953782
56813920,"Preço para venda à vista ou financiamento, consulte -nos em caso de troca. Reservamo-nos no direito de corrigir eventuais erros de digitação",140,True,9,"<p> len=140 kws=['troca', 'financia', 'consulte', 'venda']; total_aprovados=1",2026-05-13T00:53:35.348788
57496263,,0,False,9,"nenhum <p> passou (9 candidatos avaliados); primeiras rejeicoes: ['len=103 rejeitado pai_class=hidemessage', 'len=125 rejeitado pai_class=hidemessage', 'len=115 rejeitado pai_class=modal']",2026-05-13T00:53:40.261046
57169010,,0,False,9,"nenhum <p> passou (9 candidatos avaliados); primeiras rejeicoes: ['len=103 rejeitado pai_class=hidemessage', 'len=125 rejeitado pai_class=hidemessage', 'len=115 rejeitado pai_class=modal']",2026-05-13T00:53:45.141234
56897613,"Banco do motorista com ajuste de altura, Encosto de cabeça traseiro, Porta-copos, Bluetooth, Câmera de Ré, Volante Multifuncional, Garantia da Loja . Somos um grupo com 5 lojas na região de Campinas e Hortolândia, reunindo a força da Unimais Veículos e da Meta Veículos, oferecendo um amplo estoque com mais de 350 veículos, selecionados com critério, variedade e procedência. Nosso compromisso é proporcionar uma experiência de compra segura, transparente e eficiente, com atendimento profissional do primeiro contato até a entrega do veículo. Aqui você encontra: - Seminovos cuidadosamente selecionados - Atendimento humanizado e especializado - Condições facilitadas de negociação - Estrutura completa para atender suas necessidades A maioria dos 350 Veículos possuem opção de garantia estendida de até 1 ano*. Consulte condições com nossos consultores. O valor anunciado não inclui produtos ou serviços adicionais. Nos reservamos o direito de corrigir eventuais erros de digitação ou publicação. Entre em contato e conheça a estrutura do Grupo Unimais & Meta Veículos.",1072,True,10,"<p> len=1072 kws=['garantia', 'contato', 'consulte']; total_aprovados=1",2026-05-13T00:53:52.823422
56839328,,0,False,8,"nenhum <p> passou (8 candidatos avaliados); primeiras rejeicoes: ['len=103 rejeitado pai_class=hidemessage', 'len=125 rejeitado pai_class=hidemessage', 'len=115 rejeitado pai_class=modal']",2026-05-13T00:53:57.652762
56459217,,0,False,8,"nenhum <p> passou (8 candidatos avaliados); primeiras rejeicoes: ['len=103 rejeitado pai_class=hidemessage', 'len=125 rejeitado pai_class=hidemessage', 'len=115 rejeitado pai_class=modal']",2026-05-13T00:54:05.018910
57505251,,0,False,8,"nenhum <p> passou (8 candidatos avaliados); primeiras rejeicoes: ['len=103 rejeitado pai_class=hidemessage', 'len=125 rejeitado pai_class=hidemessage', 'len=115 rejeitado pai_class=modal']",2026-05-13T00:54:11.753327
56367024,,0,False,8,"nenhum <p> passou (8 candidatos avaliados); primeiras rejeicoes: ['len=103 rejeitado pai_class=hidemessage', 'len=125 rejeitado pai_class=hidemessage', 'len=115 rejeitado pai_class=modal']",2026-05-13T00:54:16.195279
57487255,,0,False,8,"nenhum <p> passou (8 candidatos avaliados); primeiras rejeicoes: ['len=103 rejeitado pai_class=hidemessage', 'len=125 rejeitado pai_class=hidemessage', 'len=115 rejeitado pai_class=modal']",2026-05-13T00:54:21.617395
56287843,"Aproveite agora mesmo as condições que a Miguel Motors oferece para a compra do seu carro novo, venha nos visitar! Atuamos no mercado desde 1999 com grande variedade de veículos e com as melhores condições, sempre prezando pelo melhor atendimento ao nosso cliente. - Facilitamos a entrada no cartão de crédito, parcelamento até 24x (consultar taxa) - Laudo Cautelar aprovado - Aceitamos o seu usado na troca - Financiamento com os principais bancos, com ou sem entrada - Simulação On-line *Nos reservamos a possíveis erros de digitação Observação: valor do anuncio permanece para pagamento a vista ou financiado, envolvendo troca permanece o valor do site da MIGUEL MOTORS.",673,True,11,"<p> len=673 kws=['cautelar', 'troca', 'financia', 'parcel', 'aceita', 'cliente']; total_aprovados=1",2026-05-13T00:54:26.822454
57492000,,0,False,10,"nenhum <p> passou (10 candidatos avaliados); primeiras rejeicoes: ['len=103 rejeitado pai_class=hidemessage', 'len=125 rejeitado pai_class=hidemessage', 'len=115 rejeitado pai_class=modal']",2026-05-13T00:54:34.450924
56972497,"Banco do motorista com ajuste de altura, Controle automático de velocidade, Encosto de cabeça traseiro, Porta-copos, Bluetooth, Câmera de Ré, Comando de Som no Volante, Luz Diurna, Monitoramento de pressão de pneus, Piloto Automático, Volante Multifuncional, Isofix, Baixa km, Garantia da Loja . Somos um grupo com 5 lojas na região de Campinas e Hortolândia, reunindo a força da Unimais Veículos e da Meta Veículos, oferecendo um amplo estoque com mais de 350 veículos, selecionados com critério, variedade e procedência. Nosso compromisso é proporcionar uma experiência de compra segura, transparente e eficiente, com atendimento profissional do primeiro contato até a entrega do veículo. Aqui você encontra: - Seminovos cuidadosamente selecionados - Atendimento humanizado e especializado - Condições facilitadas de negociação - Estrutura completa para atender suas necessidades A maioria dos 350 Veículos possuem opção de garantia estendida de até 1 ano*. Consulte condições com nossos consultores. O valor anunciado não inclui produtos ou serviços adicionais. Nos reservamos o direito de corrigir eventuais erros de digitação ou publicação. Entre em contato e conheça a estrutura do Grupo Unimais & Meta Veículos.",1218,True,10,"<p> len=1218 kws=['garantia', 'contato', 'consulte']; total_aprovados=1",2026-05-13T00:54:40.072195
56755686,"LAUDO CAUTELAR APROVADO** Veículos em ótimo estado de conservação com procedência , garantia e periciados. Aceitamos cartões de crédito em até 18x (juros administradora) Parceria com todos os bancos disponíveis no mercado. Financiamos em até 60 meses . Valor apenas para pagto à vista ou financiado , sem carro na troca ! IPVA Pago. Licenciado.",344,True,11,"<p> len=344 kws=['cautelar', 'troca', 'garantia', 'financia', 'aceita', 'ipva', 'financiamos', 'estado de']; total_aprovados=1",2026-05-13T00:54:47.326480
56767659,"Se você está buscando um novo carro, não se arrisque e compre na Localiza Seminovos: carros com 360 itens verificados, garantia e procedência. Aqui você encontra a maior variedade de modelos do mercado, condições únicas de financiamento, entrada facilitada em até 10 vezes sem juros, carros revisados e com garantia de quilometragem real. Viabilizamos a troca do seu carro usado e entregamos seu novo carro na segurança de sua casa! Agende já seu atendimento.",459,True,9,"<p> len=459 kws=['troca', 'garantia', 'financia', 'revisa', 'revisado', 'quilometragem']; total_aprovados=1",2026-05-13T00:54:52.378752
57477678,,0,False,7,"nenhum <p> passou (7 candidatos avaliados); primeiras rejeicoes: ['len=103 rejeitado pai_class=hidemessage', 'len=125 rejeitado pai_class=hidemessage', 'len=115 rejeitado pai_class=modal']",2026-05-13T00:55:01.174566
